CG11023   7528   9484
CR43609   21822   25155
CR45339   65998   66242
dbr   66317   76211
galectin   66317   76211
CG11374   76347   77783
Zir   94738   102086
CG11377   102379   106732
Sam   S   106902   114432
CG11455,CG3436   114725   157666
CR44969   114725   157666
Gs1   114725   157666
CR44185   114725   157666
CR44186   114725   157666
CG11454   114725   157666
spen   159031   203397
mRpL10   203778   210725
Tbc1d15   17   203778   210725
CR44220   210734   250823
CR44222   210734   250823
CR44221   210734   250823
CG13693   210734   250823
CR44218   210734   250823
CR44219   252588   271744
CG3345   252588   271744
CG11555   273835   283269
smo   273835   283269
CG11562   292418   294681
Hop   295121   297449
Pi3K21B   297879   305233
Plc21C   305934   358174
CG33127   305934   358174
CR45366   305934   358174
al   378111   387439
CR43718   396119   396571
RpI135   404284   407969
ebi   415066   419652
RpLP1   419951   420864
CG13692   421770   422489
BBS8   422872   425321
ex   431226   453024
CR43717   431226   453024
CG4164   453107   454654
CR43080,CR43080   RB   454753   455313
CG4133   455530   458745
MED15,ush   458875   540560
nAChRbeta3   544924   552923
CG2789   553741   560523
CG2794   564162   568121
CG2807   568339   572907
cold   574290   576896
Pph13   577485   579549
CG13689   602812   604430
CR43648   605913   606412
CR44797   623106   623665
lectin   21Ca   624616   625556
CG2839   625651   628200
CR45369   628728   629052
CR44988   640012   715307
Hsp60B   728361   730564
GABA   B   R3   749944   762399
CR44614   772513   773093
CG12506   773546   774017
CG13946   776535   776941
CG13947   779172   779655
Gr21a   780481   782885
CG3544   784335   790798
CR45259   799855   800323
Nnf1b   810576   811531
Dbp21E2   811583   815950
Pex12   815992   819508
Clp   819963   821209
CG3662   821288   825861
dock   825968   833241
CR44060   833583   851163
kraken   852767   854539
CG13949   855336   856639
CR45345   857402   857795
CG13950   860308   861806
PNUTS   870464   877038
ninaA   877171   885141
Lsp1beta   898499   901316
CR45261   904028   904347
GluRIIC   914085   917805
CG4341   922792   958098
CG4415   1008377   1048053
ast   1077947   1080803
Atg4a   1080910   1102504
CG14339   1108539   1112694
CG14340   1112940   1114138
CG4552   1129315   1134098
CG4577   1134692   1141156
MFS3   1142868   1147395
CG4749   1147821   1150677
Vps29   1150765   1158262
Tango14   1158575   1160220
IntS14   1164442   1166425
CG14341   1166505   1172805
CG31922   1166505   1172805
CG4887   1173008   1177589
CG4896   1177689   1184020
Tgt   1184064   1185698
CG5001   1185756   1196807
CG43348   1199411   1199924
CG43349   1200204   1200663
CG5011   1200670   1201220
CG14342   1204214   1205250
CG42329   1219292   1229802
CG5397   1240035   1243018
robo3   1256416   1296596
a5   1329160   1329993
CG5440   1334127   1335514
Cdlc2   1344399   1345135
CG14346   1367995   1369050
CR44897   1380082   1420453
CG43401   1428473   1429159
snRNA:U3:22A   1432710   1432921
CG43402   1442626   1443832
CG31928   1492294   1493859
CG33128   1494069   1495456
CG31926   1495459   1497071
CG31661   1497242   1500608
CR44064   1500783   1504204
Or22a   1520490   1522156
Or22b   1522696   1524257
haf   1555128   1611157
CG14352   1611409   1614160
chinmo   1651257   1704682
cpb   1704901   1706962
CR44976   1707131   1710421
mRpL48   1710461   1715851
Rrp40   1724767   1729762
CG31937   1729886   1732356
CG17646   1732523   1750612
CG17648   1752307   1752848
Gr22e   1784061   1785286
wry   1836537   1858550
CG7295   1858608   1881480
CR44075   1858608   1881480
CG7337   1884621   1944289
tRNA:CR31942   1950238   1970362
Der   1   1973956   1975413
CG15362   1981175   1982099
CG7289   1982216   1987758
Npc2a   1988289   1988940
CR42874   1989449   1990894
CR43464   1997101   2006313
CR45712   2006762   2007688
Nplp4   2008413   2009072
tRNA:CR31943   2009154   2009226
tRNA:CR31944   2009537   2009609
CG4238   2009858   2030788
tRNA:G3:22BCb   2031691   2031762
Su(dx)   2037713   2044372
Kebab   2045493   2048054
Or22c   2054588   2057967
CG12674   2058789   2109878
CR44808   2058789   2109878
CR44055   2058789   2109878
GlyP   2130812   2137296
CG7261   2147517   2151664
AIF   2151753   2155389
CG15382   2155752   2178754
CR43751   2181961   2185495
tRNA:CR31946   2186974   2187970
CR44065   2189913   2192386
CG34174   2214265   2216311
mio   2217289   2220625
papi   2220747   2225544
sau   2226341   2231099
CR44115   2231105   2237022
CG4267   2242377   2247383
CG17234   2253044   2253852
CG4270   2263441   2265321
CG4271   2285162   2286873
CG31949   2300102   2300888
CG16995   2307947   2358944
eys   2307947   2358944
Axud1   2365344   2370137
CG15390   2374712   2375697
